대분류코드,중분류코드,소분류코드,직무코드,직무명,직무역량코드,직무역량수준(능력단위수준 이면서 세분류의 자식),직무역량명,수준(직급수준),직급명
1,1,1,1,공적개발원조사업관리,1,7,공적개발원조사업 개발전략수립,7,(가칭) 공적개발원조 사업 경영자
1,1,1,1,공적개발원조사업관리,2,6,공적개발원조사업 사업기획,6,(가칭) 공적개발원조 사업 관리자
1,1,1,1,공적개발원조사업관리,5,4,공적개발원조사업 프로젝트 집행,4,(가칭) 공적개발원조 사업 실무자
1,1,1,1,공적개발원조사업관리,3,5,공적개발원조사업 PDM수립,5,(가칭) 공적개발원조 사업 팀책임자
1,1,1,1,공적개발원조사업관리,4,5,공적개발원조사업 총괄운영관리,5,(가칭) 공적개발원조 사업 팀책임자
1,1,1,1,공적개발원조사업관리,6,5,공적개발원조사업 성과관리,5,(가칭) 공적개발원조 사업 팀책임자
1,1,1,1,공적개발원조사업관리,7,5,공적개발원조사업 평가관리,5,(가칭) 공적개발원조 사업 팀책임자
1,1,1,2,프로젝트관리,1,6,프로젝트 전략기획,6,(가칭)프로젝트 관리자
1,1,1,2,프로젝트관리,2,6,프로젝트 통합관리,6,(가칭)프로젝트 관리자
1,1,1,2,프로젝트관리,5,4,프로젝트 인적자원관리,4,(가칭)프로젝트 실무자
1,1,1,2,프로젝트관리,6,4,프로젝트 일정관리,4,(가칭)프로젝트 실무자
1,1,1,2,프로젝트관리,7,4,프로젝트 원가관리,4,(가칭)프로젝트 실무자
1,1,1,2,프로젝트관리,10,4,프로젝트 조달관리,4,(가칭)프로젝트 실무자
1,1,1,2,프로젝트관리,3,5,프로젝트 이해관계자관리,5,(가칭)프로젝트 팀책임자
1,1,1,2,프로젝트관리,4,5,프로젝트 범위관리,5,(가칭)프로젝트 팀책임자
1,1,1,2,프로젝트관리,8,5,프로젝트 리스크관리,5,(가칭)프로젝트 팀책임자
1,1,1,2,프로젝트관리,9,5,프로젝트 품질관리,5,(가칭)프로젝트 팀책임자
1,1,1,2,프로젝트관리,11,5,프로젝트 의사소통관리,5,(가칭)프로젝트 팀책임자
1,1,1,3,산학협력관리,11,5,대학기술이전 성과 관리,5,(가칭) 산학 협력 선임실무자
1,1,1,3,산학협력관리,16,5,대학 창업교육 운영,5,(가칭) 산학 협력 선임실무자
1,1,1,3,산학협력관리,19,5,산학협력 지식재산권 운영관리,5,(가칭) 산학 협력 선임실무자
1,1,1,3,산학협력관리,13,4,산학협력 연구비관리,4,(가칭) 산학 협력 실무자
1,1,1,3,산학협력관리,14,4,산학협력 과제관리,4,(가칭) 산학 협력 실무자
1,1,1,3,산학협력관리,17,4,입주기업 지원관리,4,(가칭) 산학 협력 실무자
1,1,1,3,산학협력관리,1,6,산학협력 사업기획,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,10,6,대학기술이전 기획,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,15,6,대학 창업교육 기획,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,18,6,산학협력 지식재산권 관리전략,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,20,6,산학협력 학술연구진흥,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,21,6,산학협력 회계관리,6,(가칭) 산학 협력 실무책임자
1,1,1,3,산학협력관리,12,7,대학기술사업화,7,(가칭) 산학 협력 총괄관리자
1,1,2,1,해외법인설립관리,4,5,해외법인 설립타당성 검토,5,해외법인 설립 관리자
1,1,2,1,해외법인설립관리,9,5,해외법인설립 위험 관리,5,해외법인 설립 관리자
1,1,2,1,해외법인설립관리,10,5,해외법인 설립 이해 관계자 관리,5,해외법인 설립 관리자
1,1,2,1,해외법인설립관리,1,4,해외법인 설립목적 파악,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,2,4,해외법인 설립내부역량 분석,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,3,4,해외법인 설립대상국 분석,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,5,4,해외법인 설립계획 수립,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,6,4,해외법인 운영계획 수립,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,8,4,현지 해외법인설립 절차 진행,4,해외법인 설립 선임 실무자
1,1,2,1,해외법인설립관리,7,3,국내 해외법인 설립절차 진행,3,해외법인 설립 실무자
1,1,2,2,해외취업관리,1,4,해외취업 정보수집,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,4,4,해외취업 구직자 발굴,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,6,4,해외취업 구직자 교육 훈련,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,7,4,해외취업 알선,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,8,4,해외취업 정착 지원,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,9,4,해외취업자 모니터링,4,해외취업 선임 컨설턴트
1,1,2,2,해외취업관리,10,3,해외취업 일반관리,3,해외취업 전임 컨설턴트
1,1,2,2,해외취업관리,2,5,해외취업 사업기획,5,해외취업 책임 컨설턴트
1,1,2,2,해외취업관리,3,5,해외구인처 발굴,5,해외취업 책임 컨설턴트
1,1,2,2,해외취업관리,5,5,해외취업 구직자 컨설팅,5,해외취업 책임 컨설턴트
2,1,1,1,경영기획,5,5,사업별 투자 관리,5,과장
2,1,1,1,경영기획,7,5,경영실적 분석,5,과장
2,1,1,1,경영기획,9,5,이해관계자 관리,5,과장
2,1,1,1,경영기획,1,4,사업환경 분석,4,대리
2,1,1,1,경영기획,6,4,예산 관리,4,대리
2,1,1,1,경영기획,2,7,경영방침 수립,7,부장
2,1,1,1,경영기획,3,6,경영계획 수립,6,차장
2,1,1,1,경영기획,4,6,신규사업 기획,6,차장
2,1,1,1,경영기획,8,6,경영 리스크 관리,6,차장
2,1,1,2,경영평가,4,5,경영평가방법 설정,5,과장
2,1,1,2,경영평가,5,5,경영평가도구 개발,5,과장
2,1,1,2,경영평가,7,5,경영평가 결과보고,5,과장
2,1,1,2,경영평가,8,5,경영평가 모니터링,5,과장
2,1,1,2,경영평가,9,5,경영평가 사후관리,5,과장
2,1,1,2,경영평가,2,4,경영평가관련 정보수집,4,대리
2,1,1,2,경영평가,6,6,경영평가활동 수행,6,차장
2,1,1,2,경영평가,10,6,경영평가계획 수립,6,차장
2,1,2,1,PR,11,3,PR 환경분석,3,PR Assistant
2,1,2,1,PR,14,3,PR 환경조사,3,PR Assistant
2,1,2,1,PR,8,6,위기관리,6,PR Director
2,1,2,1,PR,5,5,언론 홍보,5,PR Master
2,1,2,1,PR,15,5,PR 전략 수립,5,PR Master
2,1,2,1,PR,3,4,온라인 PR,4,PR Pro
2,1,2,1,PR,4,4,오프라인 PR,4,PR Pro
2,1,2,1,PR,6,4,조직문화 전파,4,PR Pro
2,1,2,1,PR,7,4,사회공헌활동,4,PR Pro
2,1,2,1,PR,16,4,PR 활동 평가,4,PR Pro
2,1,2,2,광고,6,4,광고 제작,4,광고 실무자
2,1,2,2,광고,7,4,광고 집행 관리,4,광고 실무자
2,1,2,2,광고,8,4,광고 효과 평가,4,광고 실무자
2,1,2,2,광고,10,4,브랜드 관리,4,광고 실무자
2,1,2,2,광고,11,4,브랜드 평가,4,광고 실무자
2,1,2,2,광고,5,5,광고 전략 수립,5,광고 전략 Master
2,1,2,2,광고,9,5,브랜드 기획,5,광고 전략 Master
2,1,3,1,마케팅전략기획,2,5,신상품 기획,5,마케팅전략기획 관리자
2,1,3,1,마케팅전략기획,6,5,전략적 제휴,5,마케팅전략기획 관리자
2,1,3,1,마케팅전략기획,8,5,마케팅 전략 계획 수립,5,마케팅전략기획 관리자
2,1,3,1,마케팅전략기획,18,5,마케팅 성과 관리,5,마케팅전략기획 관리자
2,1,3,1,마케팅전략기획,16,4,STP 전략 수립,4,마케팅전략기획 실무 책임자
2,1,3,1,마케팅전략기획,17,4,마케팅 믹스 전략 수립,4,마케팅전략기획 실무 책임자
2,1,3,1,마케팅전략기획,9,3,마케팅 시장 환경 분석,3,마케팅전략기획 실무자
2,1,3,2,고객관리,1,5,고객관리 계획 수립,5,고객관리 관리자
2,1,3,2,고객관리,7,5,고객관리 성과 평가,5,고객관리 관리자
2,1,3,2,고객관리,11,5,고객데이터 분석,5,고객관리 관리자
2,1,3,2,고객관리,10,4,고객 관계 관리,4,고객관리 실무 책임자
2,1,3,2,고객관리,6,3,고객 필요정보 제공,3,고객관리 실무자
2,1,3,3,통계조사,1,5,통계조사계획,5,통계조사 관리자
2,1,3,3,통계조사,8,5,보고서 작성,5,통계조사 관리자
2,1,3,3,통계조사,10,5,회귀분석,5,통계조사 관리자
2,1,3,3,통계조사,17,5,인터뷰 정성조사,5,통계조사 관리자
2,1,3,3,통계조사,2,4,표본설계,4,통계조사 실무 책임자
2,1,3,3,통계조사,3,4,설문설계,4,통계조사 실무 책임자
2,1,3,3,통계조사,9,4,기술통계분석,4,통계조사 실무 책임자
2,1,3,3,통계조사,15,4,2차 자료 분석,4,통계조사 실무 책임자
2,1,3,3,통계조사,4,3,실사관리,3,통계조사 실무자
2,1,3,3,통계조사,5,3,자료처리,3,통계조사 실무자
2,1,3,3,통계조사,11,6,응용 통계분석,6,통계조사 책임자
2,1,3,3,통계조사,16,7,비즈니스 인텔리전스 지원,7,통계조사 총괄자
2,1,3,4,유통관리,1,4,상품구성기획,4,유통관리 실무관리자
2,1,3,4,유통관리,4,4,판매촉진관리,4,유통관리 실무관리자
2,1,3,4,유통관리,5,4,판매 인력관리,4,유통관리 실무관리자
2,1,3,4,유통관리,7,4,상권관리,4,유통관리 실무관리자
2,1,3,4,유통관리,13,4,유통정보관리,4,유통관리 실무관리자
2,1,3,4,유통관리,2,3,상품매입,3,유통관리 실무자
2,1,3,4,유통관리,3,3,매장관리,3,유통관리 실무자
2,1,3,4,유통관리,6,3,고객관리,3,유통관리 실무자
2,1,3,4,유통관리,8,3,유통물류관리,3,유통관리 실무자
2,1,3,4,유통관리,9,5,유통채널관리,5,유통관리 총괄관리자
2,1,3,4,유통관리,12,5,성과관리,5,유통관리 총괄관리자
2,2,1,1,총무,1,5,사업계획수립,5,과장
2,2,1,1,총무,2,5,행사지원관리,5,과장
2,2,1,1,총무,3,5,부동산관리,5,과장
2,2,1,1,총무,6,4,용역관리,4,대리
2,2,1,1,총무,9,4,복리후생지원,4,대리
2,2,1,1,총무,10,4,총무보안관리,4,대리
2,2,1,1,총무,4,2,비품관리,2,사원
2,2,1,1,총무,8,2,총무문서관리,2,사원
2,2,1,1,총무,5,3,차량운영관리,3,주임
2,2,1,1,총무,7,3,업무지원,3,주임
2,2,1,2,자산관리,1,5,자산관리 목표수립,5,과장
2,2,1,2,자산관리,2,5,자산관리 계획수립,5,과장
2,2,1,2,자산관리,3,5,자산취득,5,과장
2,2,1,2,자산관리,7,5,자산처분,5,과장
2,2,1,2,자산관리,8,4,자산위탁관리,4,대리
2,2,1,2,자산관리,5,4,업무용 동산관리,2,사원
2,2,1,2,자산관리,10,6,자산평가보고,6,차장
2,2,1,3,비상기획,5,3,동원자원관리,5,과장
2,2,1,3,비상기획,6,3,민방위관리,4,대리
2,2,1,3,비상기획,1,5,비상대비업무 사업계획수립,7,부장
2,2,1,3,비상기획,2,5,충무계획수립,7,부장
2,2,1,3,비상기획,3,5,을지연습,7,부장
2,2,1,3,비상기획,4,5,충무훈련,7,부장
2,2,1,3,비상기획,8,5,안보위기관리,7,부장
2,2,1,3,비상기획,7,4,비상기획 보안관리,6,차장
2,2,2,1,인사,2,5,직무관리,5,과장
2,2,2,1,인사,3,5,인력채용,5,과장
2,2,2,1,인사,4,5,인력이동관리,5,과장
2,2,2,1,인사,5,5,인사평가,5,과장
2,2,2,1,인사,6,5,핵심인재관리,5,과장
2,2,2,1,인사,8,5,임금관리,5,과장
2,2,2,1,인사,15,5,전직지원,5,과장
2,2,2,1,인사,7,4,교육훈련운영,4,대리
2,2,2,1,인사,10,4,복리후생관리,4,대리
2,2,2,1,인사,11,4,조직문화관리,4,대리
2,2,2,1,인사,13,4,인사 아웃소싱,4,대리
2,2,2,1,인사,9,3,급여지급,3,주임
2,2,2,1,인사,14,3,퇴직업무지원,3,주임
2,2,2,1,인사,1,6,인사기획,6,차장
2,2,2,2,노무관리,1,5,노사관계 계획,5,과장
2,2,2,2,노무관리,3,5,교섭준비,5,과장
2,2,2,2,노무관리,2,4,노사관계 교육훈련,4,대리
2,2,2,2,노무관리,9,4,노사갈등 해결,4,대리
2,2,2,2,노무관리,10,5,노사관계 평가,4,대리
2,2,2,2,노무관리,8,2,위원회 운영,2,사원
2,2,2,2,노무관리,5,3,단체협약이행,3,주임
2,2,2,2,노무관리,7,3,노사협의회 운영,3,주임
2,2,2,2,노무관리,4,6,단체교섭,6,차장
2,2,2,2,노무관리,6,6,노동쟁의 대응,6,차장
2,2,3,1,비서,1,2,경영진 지원업무,2,비서
2,2,3,1,비서,9,2,비서 사무정보관리,2,비서
2,2,3,1,비서,3,3,경영진 일정관리,3,선임비서
2,2,3,1,비서,5,3,응대업무,3,선임비서
2,2,3,1,비서,6,3,보고업무,3,선임비서
2,2,3,1,비서,7,3,경영진 문서 작성관리,3,선임비서
2,2,3,1,비서,11,3,경영진 예결산관리,3,선임비서
2,2,3,1,비서,2,4,경영 환경 동향 분석,4,수석비서
2,2,3,1,비서,4,4,출장관리,4,수석비서
2,2,3,1,비서,8,4,회의의전관리,4,수석비서
2,2,3,1,비서,14,4,글로벌 경영사무 지원,4,수석비서
2,2,3,2,사무행정,2,2,문서 관리,4,대리
2,2,3,2,사무행정,6,2,회의 운영,4,대리
2,2,3,2,사무행정,8,2,사무환경 조성,4,대리
2,2,3,2,사무행정,10,2,그룹웨어 활용,4,대리
2,2,3,2,사무행정,1,3,문서 작성,2,사원
2,2,3,2,사무행정,7,3,사무행정 업무 관리,2,사원
2,2,3,2,사무행정,9,3,사무자동화 프로그램 활용,2,사원
2,2,3,2,사무행정,3,4,자료 관리,3,주임
2,2,3,2,사무행정,11,4,경영정보시각화,3,주임
2,3,1,1,예산,3,5,연간 종합예산 수립,5,과장
2,3,1,1,예산,1,4,예산편성지침 수립,4,대리
2,3,1,1,예산,2,4,부문예산 수립,4,대리
2,3,1,1,예산,6,4,예산 실적 관리,4,대리
2,3,1,1,예산,4,3,추정재무제표 작성,3,사원
2,3,1,1,예산,5,3,확정 예산 운영,3,사원
2,3,1,1,예산,7,6,예산 위험 관리,6,차장
2,3,1,2,자금,2,5,자금조달,5,과장
2,3,1,2,자금,6,5,재무위험관리,5,과장
2,3,1,2,자금,4,4,자금운용,4,대리
2,3,1,2,자금,5,3,자금정보제공,3,사원
2,3,1,2,자금,1,6,자금계획 수립,6,차장
2,3,1,2,자금,7,6,성과 분석,6,차장
2,3,2,1,회계·감사,6,3,재무비율분석,3,회계 실무자
2,3,2,1,회계·감사,10,3,원가관리,3,회계 실무자
2,3,2,1,회계·감사,11,3,재무제표작성,3,회계 실무자
2,3,2,1,회계·감사,8,6,사업결합회계,6,회계 전문가
2,3,2,1,회계·감사,9,4,비영리회계,4,회계 중간 관리자
2,3,2,1,회계·감사,7,5,회계감사,5,회계 책입자
2,3,2,1,회계·감사,1,2,전표관리,2,회계 초급 실무자
2,3,2,1,회계·감사,2,2,자금관리,2,회계 초급 실무자
2,3,2,1,회계·감사,3,2,원가계산,2,회계 초급 실무자
2,3,2,1,회계·감사,4,2,결산처리,2,회계 초급 실무자
2,3,2,1,회계·감사,5,2,회계정보시스템 운용,2,회계 초급 실무자
2,3,2,2,세무,4,3,원천징수,3,세무 실무자
2,3,2,2,세무,5,3,부가가치세 신고,3,세무 실무자
2,3,2,2,세무,8,3,지방세 신고,3,세무 실무자
2,3,2,2,세무,13,3,법인세 신고 준비,3,세무 실무자
2,3,2,2,세무,10,6,세무조사 대응,6,세무 전문가
2,3,2,2,세무,11,6,조세불복청구,6,세무 전문가
2,3,2,2,세무,12,6,절세방안 수립,6,세무 전문가
2,3,2,2,세무,6,4,종합소득세 신고,4,세무 중간관리자
2,3,2,2,세무,9,5,기타세무 신고,5,세무 책임자
2,3,2,2,세무,14,5,법인세 신고,5,세무 책임자
2,3,2,2,세무,1,2,전표처리,2,세무 초급 실무자
2,3,2,2,세무,2,2,결산관리,2,세무 초급 실무자
2,4,1,1,구매관리,3,5,구매 협력사 육성,5,과장/선임
2,4,1,1,구매관리,6,5,개발구매,5,과장/선임
2,4,1,1,구매관리,8,5,구매 원가 절감 실행,5,과장/선임
2,4,1,1,구매관리,10,5,구매 성과관리,5,과장/선임
2,4,1,1,구매관리,5,4,구매품 품질관리,4,대리
2,4,1,1,구매관리,9,4,구매 계약,4,대리
2,4,1,1,구매관리,1,7,구매 전략 수립,7,부장/수석
2,4,1,1,구매관리,11,7,구매 리스크관리,7,부장/수석
2,4,1,1,구매관리,4,3,구매 발주관리,3,주임
2,4,1,1,구매관리,2,6,신규 구매 협력사 발굴,6,차장/책임
2,4,1,1,구매관리,7,6,구매 원가 관리,6,차장/책임
2,4,1,2,자재관리,7,5,사내물류관리,5,과장/선임
2,4,1,2,자재관리,4,4,자재창고 운영관리,4,대리
2,4,1,2,자재관리,5,4,자재 운영관리,4,대리
2,4,1,2,자재관리,1,7,자재관리 전략수립,7,부장/수석
2,4,1,2,자재관리,3,3,자재 입고관리,3,주임
2,4,1,2,자재관리,6,3,자재 출고관리,3,주임
2,4,1,2,자재관리,2,6,자재조달 계획수립,6,차장/책임
2,4,1,3,공정관리,3,5,공정편성,5,"과장, 선임"
2,4,1,3,공정관리,4,5,작업계획수립,5,"과장, 선임"
2,4,1,3,공정관리,8,5,설비보전관리,5,"과장, 선임"
2,4,1,3,공정관리,9,5,공정지표관리,5,"과장, 선임"
2,4,1,3,공정관리,11,5,설비자산관리,5,"과장, 선임"
2,4,1,3,공정관리,5,4,표준작업관리,4,대리
2,4,1,3,공정관리,10,4,공정개선,4,대리
2,4,1,3,공정관리,1,7,생산계획수립,7,"부장, 수석"
2,4,1,3,공정관리,6,3,공정품질관리,3,주임
2,4,1,3,공정관리,7,3,설비일상관리,3,주임
2,4,1,3,공정관리,2,6,공정설계,6,"차장, 책임"
2,4,1,4,SCM,3,5,공급망수요계획,5,"과장, 선임"
2,4,1,4,SCM,4,5,공급망공급계획,5,"과장, 선임"
2,4,1,4,SCM,5,5,공급망생산운영,5,"과장, 선임"
2,4,1,4,SCM,6,5,공급망조달운영,5,"과장, 선임"
2,4,1,4,SCM,9,5,공급망성과관리,5,"과장, 선임"
2,4,1,4,SCM,1,7,공급망진단분석,7,"부장, 수석"
2,4,1,4,SCM,2,7,공급망전략수립,7,"부장, 수석"
2,4,1,4,SCM,7,3,공급망재고운영,3,주임
2,4,1,4,SCM,8,3,공급망운송관리,3,주임
2,4,2,1,QM/QC관리,3,5,서비스 품질관리,5,과장
2,4,2,1,QM/QC관리,6,5,설계품질관리,5,과장
2,4,2,1,QM/QC관리,10,5,품질보증체계확립,5,과장
2,4,2,1,QM/QC관리,11,5,신뢰성관리,5,과장
2,4,2,1,QM/QC관리,16,5,품질경영시스템인증관리,5,과장
2,4,2,1,QM/QC관리,2,4,품질정보관리,4,대리
2,4,2,1,QM/QC관리,4,4,사내표준화,4,대리
2,4,2,1,QM/QC관리,7,4,공정품질관리,4,대리
2,4,2,1,QM/QC관리,8,4,품질검사관리,4,대리
2,4,2,1,QM/QC관리,9,4,협력사품질관리,4,대리
2,4,2,1,QM/QC관리,13,4,품질경영혁신활동,4,대리
2,4,2,1,QM/QC관리,14,3,지속적개선활동,3,주임
2,4,2,1,QM/QC관리,15,3,현장품질관리,3,주임
2,4,2,1,QM/QC관리,1,6,품질전략수립,6,차장
2,4,2,1,QM/QC관리,5,6,품질코스트관리,6,차장
2,4,2,1,QM/QC관리,12,6,안전품질관리,6,차장
2,4,3,2,수출입관리,1,2,수출입사전준비,2,사원
2,4,3,2,수출입관리,2,3,수출입위험관리,3,주임
2,4,3,2,수출입관리,4,3,수출입계약,3,주임
2,4,3,2,수출입관리,5,3,수출입운송보험,3,주임
2,4,3,2,수출입관리,8,3,수출마케팅,3,주임
2,4,3,2,수출입관리,9,3,수입마케팅,3,주임
2,4,3,2,수출입관리,10,3,수출통관,3,주임
2,4,3,2,수출입관리,11,3,수입통관,3,주임
2,4,3,2,수출입관리,12,3,수출대금결제,3,주임
2,4,3,2,수출입관리,13,3,수입대금결제,3,주임
2,4,3,3,원산지관리,3,5,FTA 원산지 판정,5,과장
2,4,3,3,원산지관리,7,5,FTA 원산지 검증 대응,5,과장
2,4,3,3,원산지관리,1,4,FTA 원산지 활용분석,4,대리
2,4,3,3,원산지관리,2,4,FTA 원산지 판정요소관리,4,대리
2,4,3,3,원산지관리,6,4,FTA 원산지 수입 활용,4,대리
2,4,3,3,원산지관리,8,6,FTA 원산지 활용전략수립,6,부장
2,4,3,3,원산지관리,4,2,FTA 원산지 증빙서류 발급,2,사원
2,4,3,3,원산지관리,5,3,FTA 원산지 인증수출자 인증,3,주임
2,4,3,5,물류기획,8,3,물류정보시스템 활용,3,물류기획(3)
2,4,3,5,물류기획,2,4,물류 고객관리,4,물류기획(4)
2,4,3,5,물류기획,4,4,재고관리 기획,4,물류기획(4)
2,4,3,5,물류기획,5,4,운송관리 기획,4,물류기획(4)
2,4,3,5,물류기획,6,4,보관하역관리 기획,4,물류기획(4)
2,4,3,5,물류기획,3,5,물류거점 네트워크 설계,5,물류기획(5)
2,4,3,5,물류기획,7,5,물류성과관리,5,물류기획(5)
2,4,3,5,물류기획,1,6,물류 전략기획,6,물류기획(6)
2,4,3,6,운송관리,1,3,육상운송관리,3,운송관리(3)
2,4,3,6,운송관리,2,3,해상운송관리,3,운송관리(3)
2,4,3,6,운송관리,3,3,항공운송관리,3,운송관리(3)
2,4,3,6,운송관리,4,3,복합운송관리,3,운송관리(3)
2,4,3,6,운송관리,5,3,특송화물관리,3,운송관리(3)
2,4,3,7,보관·하역관리,1,3,입고관리,3,보관·하역관리(3)
2,4,3,7,보관·하역관리,2,3,보관관리,3,보관·하역관리(3)
2,4,3,7,보관·하역관리,3,3,분류관리,3,보관·하역관리(3)
2,4,3,7,보관·하역관리,4,3,물류포장관리,3,보관·하역관리(3)
2,4,3,7,보관·하역관리,5,3,물류유통가공,3,보관·하역관리(3)
2,4,3,7,보관·하역관리,6,3,출고관리,3,보관·하역관리(3)
3,1,1,1,창구사무,4,2,출납관리,2,Junior Teller
3,1,1,1,창구사무,6,2,전자금융 서비스,2,Junior Teller
3,1,1,1,창구사무,11,2,부수업무 처리,2,Junior Teller
3,1,1,1,창구사무,13,2,입지급 거래,2,Junior Teller
3,1,1,1,창구사무,14,2,예금 관리,2,Junior Teller
3,1,1,1,창구사무,8,4,펀드 세일즈,4,Master Teller
3,1,1,1,창구사무,9,4,방카슈랑스 세일즈,4,Master Teller
3,1,1,1,창구사무,2,3,예금상품 세일즈,3,Senior Teller
3,1,1,1,창구사무,3,3,제신고 처리,3,Senior Teller
3,1,1,1,창구사무,5,3,외국환거래,3,Senior Teller
3,1,1,1,창구사무,7,3,개인대출 세일즈,3,Senior Teller
3,1,1,1,창구사무,10,3,신용카드 세일즈,3,Senior Teller
3,1,1,1,창구사무,12,3,금융소비자 보호,3,Senior Teller
3,1,1,2,기업영업,3,4,고객접촉활동·관계형성,4,Junior RM
3,1,1,2,기업영업,8,4,거래약정,4,Junior RM
3,1,1,2,기업영업,1,6,가망기업 고객 발굴,6,Master RM
3,1,1,2,기업영업,2,6,대상기업분석,6,Master RM
3,1,1,2,기업영업,6,6,거래 제안·협상,6,Master RM
3,1,1,2,기업영업,10,6,기업고객관리,6,Master RM
3,1,1,2,기업영업,4,5,기업고객 상담,5,Senior RM
3,1,1,2,기업영업,5,5,기업고객니즈 파악·분석,5,Senior RM
3,1,1,2,기업영업,7,5,거래신청 심사·승인,5,Senior RM
3,1,1,2,기업영업,9,5,기업 거래심화,5,Senior RM
3,1,1,3,PB영업,1,4,고객창출,4,Junior PB
3,1,1,3,PB영업,2,4,고객상담,4,Junior PB
3,1,1,3,PB영업,3,4,고객정보수집·분석,4,Junior PB
3,1,1,3,PB영업,8,4,고객관리,4,Junior PB
3,1,1,3,PB영업,9,4,PB컴플라이언스,4,Junior PB
3,1,1,3,PB영업,4,5,금융자산 투자설계,5,Senior PB
3,1,1,3,PB영업,5,5,비금융자산 상담·자문,5,Senior PB
3,1,1,3,PB영업,6,5,고객제안·실행,5,Senior PB
3,1,1,3,PB영업,7,5,투자 사후관리,5,Senior PB
3,1,1,4,카드영업,1,3,개인영업,3,Assistant
3,1,1,4,카드영업,9,3,고객상담,3,Assistant
3,1,1,4,카드영업,10,3,심사관리,3,Assistant
3,1,1,4,카드영업,11,3,발급관리,3,Assistant
3,1,1,4,카드영업,12,3,국내 정산관리,3,Assistant
3,1,1,4,카드영업,13,3,국제 정산관리,3,Assistant
3,1,1,4,카드영업,8,4,신용리스크관리,4,Credit Risk Manager
3,1,1,4,카드영업,4,4,회원마케팅,4,Marketing Manager
3,1,1,4,카드영업,5,4,가맹점마케팅,4,Marketing Manager
3,1,1,4,카드영업,2,4,기업영업,4,Sales Manager
3,1,1,4,카드영업,3,4,제휴영업,4,Sales Manager
3,1,1,5,여신전문금융영업,9,3,여신전문금융 채널관리,3,SF Assistant Manager
3,1,1,5,여신전문금융영업,2,4,자동차 리스영업,4,SF Manager
3,1,1,5,여신전문금융영업,6,4,여신전문금융 회계,4,SF Manager
3,1,1,5,여신전문금융영업,7,4,여신전문금융 컴플라이언스,4,SF Manager
3,1,1,5,여신전문금융영업,10,4,여신전문금융 채권관리,4,SF Manager
3,1,1,5,여신전문금융영업,1,5,설비금융영업,5,SF Senior Manager
3,1,1,5,여신전문금융영업,4,5,기업여신영업,5,SF Senior Manager
3,1,1,5,여신전문금융영업,3,2,자동차 할부대출영업,2,SF(Sales Finance) Assistant
3,1,1,5,여신전문금융영업,8,2,여신전문금융 사후관리,2,SF(Sales Finance) Assistant
3,1,1,5,여신전문금융영업,5,5,여신전문금융 심사,5,Senior Credit Manager
3,1,2,1,여수신상품개발,4,6,수신상품 기획,6,수신상품 개발 총괄관리자
3,1,2,1,여수신상품개발,6,6,수신상품 설계,6,수신상품 개발 총괄관리자
3,1,2,1,여수신상품개발,2,5,여수신상품개발 타당성 검토,5,여수신상품 개발 관리자
3,1,2,1,여수신상품개발,7,5,컴플라이언스,5,여수신상품 개발 관리자
3,1,2,1,여수신상품개발,8,3,전산개발 지원,3,여수신상품 개발 운영 실무자
3,1,2,1,여수신상품개발,10,3,여수신상품 사후관리,3,여수신상품 개발 운영 실무자
3,1,2,1,여수신상품개발,1,4,시장기회 탐색,4,여수신상품 시장조사 마케팅 실무자
3,1,2,1,여수신상품개발,9,4,여수신상품 마케팅,4,여수신상품 시장조사 마케팅 실무자
3,1,2,1,여수신상품개발,3,6,여신상품 기획,6,여신상품 개발 총괄관리자
3,1,2,1,여수신상품개발,5,6,여신상품 설계,6,여신상품 개발 총괄관리자
3,1,2,2,투자상품개발,3,4,투자수요 분석,4,투자상품개발 담당자
3,1,2,2,투자상품개발,10,4,투자상품 사후관리,4,투자상품개발 담당자
3,1,2,2,투자상품개발,1,3,아이디어 수집,3,투자상품개발 실무자
3,1,2,2,투자상품개발,8,3,투자상품 출시준비,3,투자상품개발 실무자
3,1,2,2,투자상품개발,4,5,전통상품 설계,5,투자상품개발 책임자
3,1,2,2,투자상품개발,7,5,투자상품 마케팅 전략수립,5,투자상품개발 책임자
3,1,2,2,투자상품개발,11,5,투자상품 제도분석,5,투자상품개발 책임자
3,1,2,2,투자상품개발,12,5,투자 상품성 분석,5,투자상품개발 책임자
